algorithm,seconds
gemm,4.451930
gemm,4.344684
gemm,4.431485
gemm,4.334474
gemm,4.438586
gemm,4.343435
gemm,4.455798
gemm,4.337718
gemm,4.434650
gemm,4.325667
gemm-mpi,1.048989
gemm-mpi,1.065494
gemm-mpi,1.031956
gemm-mpi,1.051201
gemm-mpi,1.036921
gemm-mpi,1.057727
gemm-mpi,1.047890
gemm-mpi,1.011301
gemm-mpi,1.039379
gemm-mpi,0.999192
gemm-mpi-tilea-transpose,2.383744
gemm-mpi-tilea-transpose,2.380649
gemm-mpi-tilea-transpose,2.370490
gemm-mpi-tilea-transpose,2.367609
gemm-mpi-tilea-transpose,2.389912
gemm-mpi-tilea-transpose,2.388602
gemm-mpi-tilea-transpose,2.383485
gemm-mpi-tilea-transpose,2.358960
gemm-mpi-tilea-transpose,2.375365
gemm-mpi-tilea-transpose,2.341711
