algorithm,seconds
gemm,2.425209
gemm,2.490982
gemm,2.423627
gemm,2.356701
gemm,2.362837
gemm,2.333801
gemm,2.305947
gemm,2.358713
gemm,2.423920
gemm,2.436477
gemm-mpi,1.294287
gemm-mpi,1.175652
gemm-mpi,1.163627
gemm-mpi,1.134679
gemm-mpi,1.740037
gemm-mpi,1.324363
gemm-mpi,1.126777
gemm-mpi,1.158063
gemm-mpi,1.104636
gemm-mpi,1.159205
gemm-mpi-tilea-transpose,1.798982
gemm-mpi-tilea-transpose,1.647273
gemm-mpi-tilea-transpose,1.409878
gemm-mpi-tilea-transpose,1.370642
gemm-mpi-tilea-transpose,1.338494
gemm-mpi-tilea-transpose,1.464418
gemm-mpi-tilea-transpose,1.429841
gemm-mpi-tilea-transpose,1.370257
gemm-mpi-tilea-transpose,1.271488
gemm-mpi-tilea-transpose,1.348543
